Outline Area (µm²),Frame 0
Outline 1,484.3154572
Outline 2,352.50812
Outline 3,2344.94532
Outline 4,14802.27575
Outline 5,8929.183944
Outline 6,116.480944
Outline 7,2482.88328
Outline 8,79.697488
Outline 9,533.360112
Outline 10,18538.86182
Outline 11,10808.20549
Outline 12,686.6245588
Outline 13,104.219792
Outline 14,196.178432
Outline 15,85.82805815
Outline 16,82.762776
Outline 17,2108.918144
Outline 18,419.944456
Outline 19,82.762776
Outline 20,1370.183736
Outline 21,1140.287136
Outline 22,2697.45344
Outline 23,419.944456
Outline 24,128.742096
Outline 25,220.700736
Outline 26,585.470008
Outline 27,11381.4136
Outline 28,236.027176
Outline 29,398.48744
Outline 30,297.332936
Outline 31,2743.432573
Outline 32,695.820376
